시간,rate
2021-06-03 00:00:00,0.0
2021-06-04 00:00:00,1.0
2021-06-05 00:00:00,1.25
2021-06-06 00:00:00,0.11111
2021-06-07 00:00:00,0.9
2021-06-08 00:00:00,0.36842
2021-06-09 00:00:00,0.61538
2021-06-10 00:00:00,0.7381
2021-06-11 00:00:00,0.23288
2021-06-12 00:00:00,0.2
2021-06-13 00:00:00,0.34259
2021-06-14 00:00:00,0.27586
2021-06-15 00:00:00,0.34595
2021-06-16 00:00:00,0.31325
2021-06-17 00:00:00,0.29358
2021-06-18 00:00:00,0.35225
2021-06-19 00:00:00,0.27273
2021-06-20 00:00:00,0.2033
2021-06-21 00:00:00,0.36187
2021-06-22 00:00:00,0.27158
2021-06-23 00:00:00,0.16348
2021-06-24 00:00:00,0.21473
2021-06-25 00:00:00,0.17677
2021-06-26 00:00:00,0.12921
2021-06-27 00:00:00,0.12636
2021-06-28 00:00:00,0.0751
2021-06-29 00:00:00,0.02232
2021-06-30 00:00:00,0.02098
