시간,rate
2021-06-05 00:00:00,0.25
2021-06-06 00:00:00,0.0
2021-06-07 00:00:00,0.3
2021-06-08 00:00:00,0.15385
2021-06-09 00:00:00,0.26667
2021-06-10 00:00:00,0.52632
2021-06-11 00:00:00,0.34483
2021-06-12 00:00:00,0.05128
2021-06-13 00:00:00,0.14634
2021-06-14 00:00:00,0.42553
2021-06-15 00:00:00,0.28358
2021-06-16 00:00:00,1.12791
2021-06-17 00:00:00,0.21858
2021-06-18 00:00:00,0.39013
2021-06-19 00:00:00,0.25806
2021-06-20 00:00:00,0.35897
2021-06-21 00:00:00,0.25094
2021-06-22 00:00:00,0.0905
2021-06-23 00:00:00,0.29737
2021-06-24 00:00:00,0.26972
2021-06-25 00:00:00,0.09992
2021-06-26 00:00:00,0.22824
2021-06-27 00:00:00,0.11809
2021-06-28 00:00:00,0.21845
2021-06-29 00:00:00,0.0365
2021-06-30 00:00:00,0.17386
