시간,rate
2022-02-06 00:00:00,0.81081
2022-02-07 00:00:00,0.19403
2022-02-08 00:00:00,0.2875
2022-02-09 00:00:00,0.36893
2022-02-10 00:00:00,0.31915
2022-02-11 00:00:00,0.25269
2022-02-12 00:00:00,0.18884
2022-02-13 00:00:00,0.38989
2022-02-14 00:00:00,0.34545
2022-02-15 00:00:00,0.50965
2022-02-16 00:00:00,0.49361
2022-02-17 00:00:00,0.32962
2022-02-18 00:00:00,0.22344
2022-02-19 00:00:00,0.33053
2022-02-20 00:00:00,0.16495
2022-02-21 00:00:00,0.11104
2022-02-22 00:00:00,0.21088
2022-02-23 00:00:00,-0.08026
2022-02-24 00:00:00,0.30461
2022-02-25 00:00:00,-0.03092
2022-02-26 00:00:00,-0.09724
2022-02-27 00:00:00,0.11325
2022-02-28 00:00:00,0.06436
2022-03-01 00:00:00,0.14164
2022-03-02 00:00:00,-0.08407
2022-03-03 00:00:00,0.15176
