시간,rate
2022-03-09 00:00:00,0.5
2022-03-10 00:00:00,0.66667
2022-03-11 00:00:00,0.53333
2022-03-12 00:00:00,0.3913
2022-03-13 00:00:00,0.34375
2022-03-14 00:00:00,0.27907
2022-03-15 00:00:00,0.36364
2022-03-16 00:00:00,0.30667
2022-03-17 00:00:00,0.15306
2022-03-18 00:00:00,0.23894
2022-03-19 00:00:00,0.30714
2022-03-20 00:00:00,0.29508
2022-03-21 00:00:00,0.81013
2022-03-22 00:00:00,0.41958
2022-03-23 00:00:00,0.39245
2022-03-24 00:00:00,0.39269
2022-03-25 00:00:00,0.18459
2022-03-26 00:00:00,0.45747
2022-03-27 00:00:00,0.23345
2022-03-28 00:00:00,0.14314
2022-03-29 00:00:00,0.1113
2022-03-30 00:00:00,0.01408
2022-03-31 00:00:00,0.02531
2022-04-01 00:00:00,0.06954
2022-04-02 00:00:00,0.00281
2022-04-03 00:00:00,0.02638
2022-04-04 00:00:00,0.06535
2022-04-05 00:00:00,0.06006
2022-04-06 00:00:00,-0.0431
2022-04-07 00:00:00,-0.12576
2022-04-08 00:00:00,-0.3864
2022-04-09 00:00:00,0.85613
2022-04-10 00:00:00,0.11792
2022-04-11 00:00:00,0.16526
2022-04-12 00:00:00,0.0437
2022-04-13 00:00:00,0.14486
2022-04-14 00:00:00,-0.32033
