시간,rate
2022-04-27 00:00:00,0.75
2022-04-28 00:00:00,0.71429
2022-04-29 00:00:00,0.36111
2022-04-30 00:00:00,0.28571
2022-05-01 00:00:00,0.26984
2022-05-02 00:00:00,0.4
2022-05-03 00:00:00,0.375
2022-05-04 00:00:00,0.48701
2022-05-05 00:00:00,0.43231
2022-05-06 00:00:00,0.48476
2022-05-07 00:00:00,0.35113
2022-05-08 00:00:00,0.3541
2022-05-09 00:00:00,0.46801
2022-05-10 00:00:00,0.29128
2022-05-11 00:00:00,0.35642
2022-05-12 00:00:00,0.26757
2022-05-13 00:00:00,0.1918
2022-05-14 00:00:00,0.11846
2022-05-15 00:00:00,0.05425
2022-05-16 00:00:00,0.18549
2022-05-17 00:00:00,-0.01013
2022-05-18 00:00:00,0.04615
2022-05-19 00:00:00,0.11916
2022-05-20 00:00:00,-0.02854
2022-05-21 00:00:00,0.05085
2022-05-22 00:00:00,-0.00996
2022-05-23 00:00:00,0.05576
