시간,rate
2022-04-29 00:00:00,0.33333
2022-04-30 00:00:00,0.5
2022-05-01 00:00:00,1.0
2022-05-02 00:00:00,-0.25
2022-05-03 00:00:00,1.07407
2022-05-04 00:00:00,0.08929
2022-05-05 00:00:00,0.72131
2022-05-06 00:00:00,0.88571
2022-05-07 00:00:00,0.16162
2022-05-08 00:00:00,0.18696
2022-05-09 00:00:00,0.67766
2022-05-10 00:00:00,0.06769
2022-05-11 00:00:00,0.14519
2022-05-12 00:00:00,0.23036
2022-05-13 00:00:00,0.25399
2022-05-14 00:00:00,0.3206
2022-05-15 00:00:00,0.32954
2022-05-16 00:00:00,0.25511
2022-05-17 00:00:00,0.10977
2022-05-18 00:00:00,0.05017
2022-05-19 00:00:00,0.07661
2022-05-20 00:00:00,-0.52114
2022-05-21 00:00:00,0.64423
2022-05-22 00:00:00,0.353
2022-05-23 00:00:00,0.20354
