시간,rate
2021-06-05 00:00:00,1.14286
2021-06-06 00:00:00,0.46667
2021-06-07 00:00:00,0.81818
2021-06-08 00:00:00,0.25
2021-06-09 00:00:00,0.26
2021-06-10 00:00:00,0.33333
2021-06-11 00:00:00,0.44048
2021-06-12 00:00:00,0.2562
2021-06-13 00:00:00,0.26974
2021-06-14 00:00:00,0.44041
2021-06-15 00:00:00,0.28058
2021-06-16 00:00:00,0.42135
2021-06-17 00:00:00,0.20751
2021-06-18 00:00:00,0.31424
2021-06-19 00:00:00,0.25903
2021-06-20 00:00:00,0.16914
2021-06-21 00:00:00,0.13706
2021-06-22 00:00:00,0.12872
2021-06-23 00:00:00,0.16084
2021-06-24 00:00:00,0.16468
2021-06-25 00:00:00,0.09264
2021-06-26 00:00:00,0.19411
2021-06-27 00:00:00,0.1932
2021-06-28 00:00:00,0.04009
2021-06-29 00:00:00,0.09816
2021-06-30 00:00:00,0.02331
