시간,rate
2022-04-21 00:00:00,0.13333
2022-04-22 00:00:00,1.17647
2022-04-23 00:00:00,0.54054
2022-04-24 00:00:00,0.01754
2022-04-25 00:00:00,0.22414
2022-04-26 00:00:00,0.01408
2022-04-27 00:00:00,0.59722
2022-04-28 00:00:00,0.33913
2022-04-29 00:00:00,0.24026
2022-04-30 00:00:00,0.25654
2022-05-01 00:00:00,0.25833
2022-05-02 00:00:00,0.28146
2022-05-03 00:00:00,0.16796
2022-05-04 00:00:00,0.25442
2022-05-05 00:00:00,0.2134
2022-05-06 00:00:00,0.18605
2022-05-07 00:00:00,0.22917
2022-05-08 00:00:00,0.14357
2022-05-09 00:00:00,0.18745
2022-05-10 00:00:00,0.20999
2022-05-11 00:00:00,0.15898
2022-05-12 00:00:00,0.12356
2022-05-13 00:00:00,0.12255
2022-05-14 00:00:00,0.09174
2022-05-15 00:00:00,-0.02167
2022-05-16 00:00:00,0.01321
2022-05-17 00:00:00,-0.01304
2022-05-18 00:00:00,0.01321
2022-05-19 00:00:00,0.00153
2022-05-20 00:00:00,0.23592
2022-05-21 00:00:00,0.09978
2022-05-22 00:00:00,0.12342
2022-05-23 00:00:00,0.08829
2022-05-24 00:00:00,0.08251
2022-05-25 00:00:00,0.08324
2022-05-26 00:00:00,0.00059
2022-05-27 00:00:00,0.01061
2022-05-28 00:00:00,0.03615
2022-05-29 00:00:00,0.03358
