시간,rate
2022-02-24 00:00:00,0.5
2022-02-25 00:00:00,0.55556
2022-02-26 00:00:00,0.28571
2022-02-27 00:00:00,0.5
2022-02-28 00:00:00,0.2963
2022-03-01 00:00:00,0.31429
2022-03-02 00:00:00,0.28261
2022-03-03 00:00:00,0.28814
2022-03-04 00:00:00,0.19737
2022-03-05 00:00:00,0.38462
2022-03-06 00:00:00,0.13492
2022-03-07 00:00:00,0.24476
2022-03-08 00:00:00,0.20225
2022-03-09 00:00:00,0.27103
2022-03-10 00:00:00,0.20956
2022-03-11 00:00:00,0.26444
2022-03-12 00:00:00,0.27163
2022-03-13 00:00:00,0.32136
2022-03-14 00:00:00,0.18169
2022-03-15 00:00:00,0.23245
2022-03-16 00:00:00,0.26326
2022-03-17 00:00:00,0.2605
2022-03-18 00:00:00,0.11968
2022-03-19 00:00:00,0.17245
2022-03-20 00:00:00,0.1438
2022-03-21 00:00:00,0.16064
2022-03-22 00:00:00,0.20389
2022-03-23 00:00:00,0.17142
2022-03-24 00:00:00,0.01355
2022-03-25 00:00:00,0.11961
2022-03-26 00:00:00,0.13271
2022-03-27 00:00:00,0.01386
2022-03-28 00:00:00,0.05663
2022-03-29 00:00:00,-0.1163
2022-03-30 00:00:00,-0.34055
2022-03-31 00:00:00,0.39412
2022-04-01 00:00:00,-0.10994
2022-04-02 00:00:00,-0.09453
2022-04-03 00:00:00,0.30317
2022-04-04 00:00:00,-0.17325
2022-04-05 00:00:00,0.0
2022-04-06 00:00:00,0.07674
2022-04-07 00:00:00,-0.13319
2022-04-08 00:00:00,0.30925
